region,fishery.id,fishery,length,freq
1,20,PL.JP.1,10,0
1,20,PL.JP.1,12,0
1,20,PL.JP.1,14,0
1,20,PL.JP.1,16,0
1,20,PL.JP.1,18,0
1,20,PL.JP.1,20,0
1,20,PL.JP.1,22,0
1,20,PL.JP.1,24,0
1,20,PL.JP.1,26,8
1,20,PL.JP.1,28,29
1,20,PL.JP.1,30,110
1,20,PL.JP.1,32,208
1,20,PL.JP.1,34,216
1,20,PL.JP.1,36,417
1,20,PL.JP.1,38,646
1,20,PL.JP.1,40,1369
1,20,PL.JP.1,42,2048
1,20,PL.JP.1,44,2197
1,20,PL.JP.1,46,3750
1,20,PL.JP.1,48,4517
1,20,PL.JP.1,50,3673
1,20,PL.JP.1,52,2155
1,20,PL.JP.1,54,1221
1,20,PL.JP.1,56,685
1,20,PL.JP.1,58,576
1,20,PL.JP.1,60,511
1,20,PL.JP.1,62,440
1,20,PL.JP.1,64,370
1,20,PL.JP.1,66,409
1,20,PL.JP.1,68,396
1,20,PL.JP.1,70,476
1,20,PL.JP.1,72,470
1,20,PL.JP.1,74,426
1,20,PL.JP.1,76,400
1,20,PL.JP.1,78,367
1,20,PL.JP.1,80,372
1,20,PL.JP.1,82,384
1,20,PL.JP.1,84,370
1,20,PL.JP.1,86,383
1,20,PL.JP.1,88,288
1,20,PL.JP.1,90,337
1,20,PL.JP.1,92,351
1,20,PL.JP.1,94,306
1,20,PL.JP.1,96,267
1,20,PL.JP.1,98,239
1,20,PL.JP.1,100,256
1,20,PL.JP.1,102,193
1,20,PL.JP.1,104,168
1,20,PL.JP.1,106,121
1,20,PL.JP.1,108,121
1,20,PL.JP.1,110,107
1,20,PL.JP.1,112,110
1,20,PL.JP.1,114,95
1,20,PL.JP.1,116,80
1,20,PL.JP.1,118,59
1,20,PL.JP.1,120,54
1,20,PL.JP.1,122,45
1,20,PL.JP.1,124,41
1,20,PL.JP.1,126,34
1,20,PL.JP.1,128,58
1,20,PL.JP.1,130,56
1,20,PL.JP.1,132,62
1,20,PL.JP.1,134,62
1,20,PL.JP.1,136,33
1,20,PL.JP.1,138,25
1,20,PL.JP.1,140,36
1,20,PL.JP.1,142,19
1,20,PL.JP.1,144,12
1,20,PL.JP.1,146,7
1,20,PL.JP.1,148,6
1,20,PL.JP.1,150,4
1,20,PL.JP.1,152,3
1,20,PL.JP.1,154,2
1,20,PL.JP.1,156,2
1,20,PL.JP.1,158,0
1,20,PL.JP.1,160,2
1,20,PL.JP.1,162,0
1,20,PL.JP.1,164,0
1,20,PL.JP.1,166,0
1,20,PL.JP.1,168,0
1,20,PL.JP.1,170,0
1,20,PL.JP.1,172,0
1,20,PL.JP.1,174,0
1,20,PL.JP.1,176,0
1,20,PL.JP.1,178,0
1,20,PL.JP.1,180,0
1,20,PL.JP.1,182,0
1,20,PL.JP.1,184,0
1,20,PL.JP.1,186,0
1,20,PL.JP.1,188,0
1,20,PL.JP.1,190,0
1,20,PL.JP.1,192,0
1,20,PL.JP.1,194,0
1,20,PL.JP.1,196,0
1,20,PL.JP.1,198,0
1,19,PS.JP.1,10,0
1,19,PS.JP.1,12,0
1,19,PS.JP.1,14,0
1,19,PS.JP.1,16,0
1,19,PS.JP.1,18,1
1,19,PS.JP.1,20,1
1,19,PS.JP.1,22,3
1,19,PS.JP.1,24,7
1,19,PS.JP.1,26,7
1,19,PS.JP.1,28,12
1,19,PS.JP.1,30,9
1,19,PS.JP.1,32,28
1,19,PS.JP.1,34,49
1,19,PS.JP.1,36,87
1,19,PS.JP.1,38,130
1,19,PS.JP.1,40,194
1,19,PS.JP.1,42,492
1,19,PS.JP.1,44,1293
1,19,PS.JP.1,46,2229
1,19,PS.JP.1,48,3022
1,19,PS.JP.1,50,2609
1,19,PS.JP.1,52,1507
1,19,PS.JP.1,54,1130
1,19,PS.JP.1,56,683
1,19,PS.JP.1,58,465
1,19,PS.JP.1,60,270
1,19,PS.JP.1,62,190
1,19,PS.JP.1,64,108
1,19,PS.JP.1,66,97
1,19,PS.JP.1,68,72
1,19,PS.JP.1,70,82
1,19,PS.JP.1,72,76
1,19,PS.JP.1,74,83
1,19,PS.JP.1,76,97
1,19,PS.JP.1,78,116
1,19,PS.JP.1,80,139
1,19,PS.JP.1,82,219
1,19,PS.JP.1,84,235
1,19,PS.JP.1,86,356
1,19,PS.JP.1,88,500
1,19,PS.JP.1,90,665
1,19,PS.JP.1,92,696
1,19,PS.JP.1,94,807
1,19,PS.JP.1,96,979
1,19,PS.JP.1,98,1265
1,19,PS.JP.1,100,1337
1,19,PS.JP.1,102,1290
1,19,PS.JP.1,104,1195
1,19,PS.JP.1,106,1152
1,19,PS.JP.1,108,1132
1,19,PS.JP.1,110,1146
1,19,PS.JP.1,112,1072
1,19,PS.JP.1,114,983
1,19,PS.JP.1,116,881
1,19,PS.JP.1,118,874
1,19,PS.JP.1,120,951
1,19,PS.JP.1,122,1015
1,19,PS.JP.1,124,1073
1,19,PS.JP.1,126,1243
1,19,PS.JP.1,128,1514
1,19,PS.JP.1,130,1728
1,19,PS.JP.1,132,1858
1,19,PS.JP.1,134,1889
1,19,PS.JP.1,136,1799
1,19,PS.JP.1,138,1486
1,19,PS.JP.1,140,1198
1,19,PS.JP.1,142,988
1,19,PS.JP.1,144,716
1,19,PS.JP.1,146,649
1,19,PS.JP.1,148,519
1,19,PS.JP.1,150,422
1,19,PS.JP.1,152,294
1,19,PS.JP.1,154,195
1,19,PS.JP.1,156,156
1,19,PS.JP.1,158,107
1,19,PS.JP.1,160,81
1,19,PS.JP.1,162,59
1,19,PS.JP.1,164,28
1,19,PS.JP.1,166,14
1,19,PS.JP.1,168,8
1,19,PS.JP.1,170,6
1,19,PS.JP.1,172,3
1,19,PS.JP.1,174,2
1,19,PS.JP.1,176,0
1,19,PS.JP.1,178,1
1,19,PS.JP.1,180,0
1,19,PS.JP.1,182,0
1,19,PS.JP.1,184,0
1,19,PS.JP.1,186,0
1,19,PS.JP.1,188,1
1,19,PS.JP.1,190,0
1,19,PS.JP.1,192,0
1,19,PS.JP.1,194,0
1,19,PS.JP.1,196,0
1,19,PS.JP.1,198,0
3,21,PL.ALL.3,10,0
3,21,PL.ALL.3,12,0
3,21,PL.ALL.3,14,0
3,21,PL.ALL.3,16,0
3,21,PL.ALL.3,18,1
3,21,PL.ALL.3,20,0
3,21,PL.ALL.3,22,0
3,21,PL.ALL.3,24,16
3,21,PL.ALL.3,26,95
3,21,PL.ALL.3,28,369
3,21,PL.ALL.3,30,755
3,21,PL.ALL.3,32,753
3,21,PL.ALL.3,34,785
3,21,PL.ALL.3,36,864
3,21,PL.ALL.3,38,1059
3,21,PL.ALL.3,40,1110
3,21,PL.ALL.3,42,1027
3,21,PL.ALL.3,44,925
3,21,PL.ALL.3,46,620
3,21,PL.ALL.3,48,656
3,21,PL.ALL.3,50,581
3,21,PL.ALL.3,52,607
3,21,PL.ALL.3,54,572
3,21,PL.ALL.3,56,528
3,21,PL.ALL.3,58,485
3,21,PL.ALL.3,60,427
3,21,PL.ALL.3,62,418
3,21,PL.ALL.3,64,402
3,21,PL.ALL.3,66,365
3,21,PL.ALL.3,68,344
3,21,PL.ALL.3,70,258
3,21,PL.ALL.3,72,238
3,21,PL.ALL.3,74,157
3,21,PL.ALL.3,76,120
3,21,PL.ALL.3,78,85
3,21,PL.ALL.3,80,102
3,21,PL.ALL.3,82,74
3,21,PL.ALL.3,84,71
3,21,PL.ALL.3,86,60
3,21,PL.ALL.3,88,78
3,21,PL.ALL.3,90,87
3,21,PL.ALL.3,92,52
3,21,PL.ALL.3,94,63
3,21,PL.ALL.3,96,89
3,21,PL.ALL.3,98,96
3,21,PL.ALL.3,100,153
3,21,PL.ALL.3,102,88
3,21,PL.ALL.3,104,90
3,21,PL.ALL.3,106,72
3,21,PL.ALL.3,108,30
3,21,PL.ALL.3,110,51
3,21,PL.ALL.3,112,50
3,21,PL.ALL.3,114,42
3,21,PL.ALL.3,116,27
3,21,PL.ALL.3,118,22
3,21,PL.ALL.3,120,23
3,21,PL.ALL.3,122,1
3,21,PL.ALL.3,124,1
3,21,PL.ALL.3,126,4
3,21,PL.ALL.3,128,1
3,21,PL.ALL.3,130,2
3,21,PL.ALL.3,132,1
3,21,PL.ALL.3,134,3
3,21,PL.ALL.3,136,2
3,21,PL.ALL.3,138,1
3,21,PL.ALL.3,140,0
3,21,PL.ALL.3,142,1
3,21,PL.ALL.3,144,0
